state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,undi_keluar_peti,majoriti,pengundi_jumlah,peratus_keluar,population_total,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
Kelantan,P.023 Rantau Panjang,2,Siti Zailah Binti Mohd Yusoff,KAK LAH,59.0,female,bumiputera,Parti Islam Se-Malaysia (PAS),37759,1,won,0,61406.0,20636.0,93248,65.85235072065889,116948,97.82389719,1.642063216,0.018235498,0.515804099
Kelantan,P.024 Kubang Kerian,4,Tuan Ibharim Bin Tuan Man,USTAZ DATO' TUAN IBRAHIM,62.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),55654,1,won,0,82502.0,40847.0,113640,72.59943681802183,156627,97.49864765,2.025587049,0.282200512,0.193564786
Kelantan,P.025 Bachok,1,Mohd Syahir Bin Che Sulaiman,SYAHIR SULAIMAN,39.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),57130,1,won,1,91223.0,29901.0,123183,74.05486146627376,157291,98.78947031,0.86722603,0.071735093,0.271568565
Kelantan,P.026 Ketereh,3,Khlir Bin Mohd Nor,MEJ JEN DATO HJ KHLIR (B),64.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),40542,1,won,1,64060.0,23107.0,85281,75.11637996740188,108448,97.70039668,1.909475339,0.076715815,0.31341217
Kelantan,P.027 Tanah Merah,5,Ikmal Hisham Bin Abdul Aziz,DATO' SRI IKMAL HISHAM,57.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),54266,1,won,0,70667.0,44485.0,98782,71.53833694397764,126470,95.39564715,3.803454282,0.301964806,0.498933763
Kelantan,P.028 Pasir Puteh,4,Nik Muhammad Zawawi Bin Salleh,USTAZ NIK ZAWAWI,55.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),52937,1,won,0,82228.0,29109.0,113070,72.72309188997966,135823,98.87597991,0.460129518,0.054830249,0.609060328
Kelantan,P.029 Machang,3,Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,WAN AHMAD FAYHSAL,35.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),35603,1,won,1,66024.0,10154.0,88825,74.3304249929637,110545,98.00016437,1.800765234,0.094969363,0.104101033
Kelantan,P.030 Jeli,2,Zahari Bin Kechik,POK ZAHARI,62.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),27072,1,won,1,43732.0,12464.0,59798,73.13288069835112,78952,99.37335049,0.21581705,0.232718385,0.178114071
Kelantan,P.031 Kuala Krai,1,Abdul Latiff Bin Abdul Rahman,USTAZ LATIFF,51.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),42740,1,won,0,65684.0,25188.0,92335,71.13662208263388,105007,95.43923757,3.494148437,0.835514296,0.231099699
Kelantan,P.032 Gua Musang,2,Mohd Azizi Bin Abu Naim,MOHD AZIZI ABU NAIM,50.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),21826,1,won,1,49699.0,163.0,70254,70.74187946593788,112495,93.75685601,4.548099394,1.358324987,0.336719607
Terengganu,P.033 Besut,1,Che Mohamad Zulkifly Bin Jusoh,DATUK ABE ZUL,63.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),49569,1,won,0,86487.0,18666.0,111650,77.46260635915809,127825,98.60539461,0.991808192,0.073526474,0.329270729
Terengganu,P.034 Setiu,2,Shaharizukirnain Bin Abd Kadir,USTAZ ZUKIRNAIN ABD KADIR,53.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),50768,1,won,0,86029.0,19032.0,107294,80.18062519805395,122390,99.61630975,0.185602876,0.033291996,0.164795379
Terengganu,P.035 Kuala Nerus,1,Alias Bin Razak,DATO' DR. HAJI ALIAS RAZAK,63.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),56697,1,won,1,88593.0,29765.0,105952,83.61616581093325,144220,97.90357278,1.588138524,0.370495353,0.137793338
Terengganu,P.036 Kuala Terengganu,4,Ahmad Amzad Bin Mohamed @ Hashim,DATUK HAJI AMZAD HASHIM,52.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),63016,1,won,0,97605.0,40907.0,123305,79.15737399132233,129031,94.6444884,4.789139639,0.395586588,0.170785374
Terengganu,P.037 Marang,1,Abdul Hadi Bin Awang,TUAN GURU HAJI ABDUL HADI AWANG,75.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),73115,1,won,0,110312.0,41729.0,131756,83.72446036613134,162312,98.50406423,1.291944529,0.030567495,0.173423747
Terengganu,P.038 Hulu Terengganu,3,Rosol Bin Wahid,DATO ROSOL WAHID,58.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),42910,1,won,0,72970.0,15734.0,87917,82.99873744554523,91855,99.49331633,0.190148703,0.017079225,0.299455742
Terengganu,P.039 Dungun,5,Wan Hassan Bin Mohd Ramli,USTAZ HAJI WAN HASSAN,65.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),59720,1,won,0,92128.0,34105.0,115559,79.72377746432558,156225,97.53775893,2.176480183,0.084814875,0.200946012
Terengganu,P.040 Kemaman,2,Che Alias Bin Hamid,USTAZ CHE ALIAS HAMID,51.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),65714,1,won,1,114533.0,27179.0,139423,82.14785221950467,215582,95.72013773,3.765049392,0.359696683,0.155116193
Pulau Pinang,P.041 Kepala Batas,2,Siti Mastura Binti Muhammad,DR USTAZAH MASTURA,33.0,female,bumiputera,Perikatan Nasional (PN),28604,1,won,1,70150.0,2867.0,83081,84.43567121243125,117043,87.17764088,8.990052538,3.622512023,0.209794561
Pulau Pinang,P.042 Tasek Gelugor,5,Wan Saifulruddin Bin Wan Jan,DATUK WAN SAIFUL WAN JAN,47.0,male,bumiputera,Perikatan Nasional (PN),31116,1,won,1,67790.0,12252.0,80868,83.82796656279369,106899,78.19072981,16.63193238,4.878237042,0.299100768
Pulau Pinang,P.043 Bagan,2,Lim Guan Eng,LIM GUAN ENG,61.0,male,chinese,Pakatan Harapan (PH),55797,1,won,0,69516.0,49648.0,89447,77.71753105190783,112712,21.6346477,65.47615619,12.40051077,0.48868535
Pulau Pinang,P.044 Permatang Pauh,2,Muhammad Fawwaz Bin Mohamad Jan,UST FAWWAZ MD JAN,39.0,male,bumiputera,Perikatan Nasional (PN),37638,1,won,1,88254.0,5272.0,107186,82.33724553579759,159989,78.4329123,15.55707878,5.575446209,0.434562709
Pulau Pinang,P.045 Bukit Mertajam,1,Sim Chee Keong,STEVEN SIM CHEE KEONG,40.0,male,chinese,Pakatan Harapan (PH),71722,1,won,0,93695.0,57685.0,120819,77.5498886764499,162947,27.8717288,61.29333005,10.44777086,0.38717029
Pulau Pinang,P.046 Batu Kawan,2,Chow Kon Yeow,CHOW KON YEOW,64.0,male,chinese,Pakatan Harapan (PH),50744,1,won,0,69759.0,40400.0,88812,78.5468179975679,164468,34.18714963,45.68034811,19.18460151,0.947900741
Pulau Pinang,P.047 Nibong Tebal,1,Fadhlina Binti Sidek,FADHLINA BINTI SIDEK,45.0,female,bumiputera,Pakatan Harapan (PH),42188,1,won,1,80477.0,16293.0,100062,80.42713517619077,122034,50.43353202,33.0116135,16.33206142,0.22279306
Pulau Pinang,P.048 Bukit Bendera,1,Syerleena Binti Abdul Rashid,SYERLEENA ABDUL RASHID,42.0,female,bumiputera,Pakatan Harapan (PH),49353,1,won,1,63404.0,42610.0,92521,68.5293068600642,123827,17.88085502,70.00610206,10.4946311,1.618411825
Pulau Pinang,P.049 Tanjong,1,Lim Hui Ying,LIM HUI YING,59.0,female,chinese,Pakatan Harapan (PH),31968,1,won,1,38141.0,28754.0,52803,72.23263829706646,34809,16.92688874,70.99539859,11.4051992,0.67251347
Pulau Pinang,P.050 Jelutong,1,Sanisvara Nethaji Rayer A/L Rajaji,SANISVARA NETHAJI RAYER (RSN RAYER),51.0,male,indian,Pakatan Harapan (PH),50369,1,won,0,71753.0,38604.0,93989,76.34191235144539,113725,26.72895828,62.42369888,10.12436969,0.722973158
Pulau Pinang,P.051 Bukit Gelugor,2,Ramkarpal Singh A/L Karpal Singh,RAMKARPAL SINGH,46.0,male,other,Pakatan Harapan (PH),71204,1,won,0,86996.0,63112.0,117134,74.27049362268855,201005,22.4760379,66.78783526,9.891997901,0.84412894
Pulau Pinang,P.052 Bayan Baru,5,Sim Tze Tzin,SIM TZE TZIN,46.0,male,chinese,Pakatan Harapan (PH),55209,1,won,0,91217.0,34902.0,119640,76.24289535272484,188603,42.35154918,47.51760298,9.235328918,0.895518925
Pulau Pinang,P.053 Balik Pulau,2,Muhammad Bakhtiar Bin Wan Chik,MUHAMMAD BAKHTIAR BIN WAN CHIK,57.0,male,bumiputera,Pakatan Harapan (PH),24564,1,won,0,64937.0,1582.0,80264,80.90426592245589,132344,63.69558482,31.63516654,4.260263362,0.408985283
Perak,P.054 Gerik,2,Fathul Huzir Bin Ayob,FATHUL HUZIR AYOB,39.0,male,bumiputera,Perikatan Nasional (PN),15105,1,won,1,35360.0,1377.0,47565,74.3403763271313,56810,86.76749265,8.173762385,2.414770164,2.643974806
Perak,P.055 Lenggong,1,Shamsul Anuar Bin Nasarah,DR SHAMSUL ANUAR NASARAH,55.0,male,bumiputera,Barisan Nasional (BN),12588,1,won,0,28189.0,879.0,36950,76.28958051420838,37428,91.88599519,6.683421249,1.107459471,0.323124085
Perak,P.056 Larut,4,Hamzah Bin Zainudin,DATO SERI HAMZAH ZAINUDIN,65.0,male,bumiputera,Perikatan Nasional (PN),28350,1,won,0,52764.0,11598.0,65719,80.2872837383405,66020,92.7792491,2.511294594,4.475775043,0.233681259
Perak,P.057 Parit Buntar,4,Mohd Misbahul Munir Bin Masduki,USTAZ MISBAH,59.0,male,bumiputera,Perikatan Nasional (PN),23223,1,won,1,53596.0,5395.0,68502,78.24005138536101,73366,71.97419648,22.42462133,4.872261218,0.72892097
Perak,P.058 Bagan Serai,1,Idris Bin Ahmad,DATUK USTAZ IDRIS,59.0,male,bumiputera,Perikatan Nasional (PN),33753,1,won,0,63521.0,18551.0,80293,79.11150411617452,92986,81.70808657,10.56069076,7.546355233,0.184867438
Perak,P.059 Bukit Gantang,1,Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,DATO' SYED ABU HUSSIN,62.0,male,bumiputera,Perikatan Nasional (PN),32625,1,won,0,72735.0,12756.0,94253,77.16995745493513,107813,76.13297774,15.29849653,8.360442738,0.208082999
Perak,P.060 Taiping,3,Wong Kah Woh,WONG KAH WOH,42.0,male,chinese,Pakatan Harapan (PH),47098,1,won,0,86136.0,25529.0,121566,70.8553378411727,130712,50.40495966,36.71183881,12.42379684,0.459404681
Perak,P.061 Padang Rengas,1,Azahari Bin Hasan,KAPTEN AZAHARI,48.0,male,bumiputera,Perikatan Nasional (PN),12931,1,won,1,30316.0,3046.0,38686,78.36426614279067,38294,82.57628387,11.9408967,5.242344894,0.240474536
Perak,P.062 Sungai Siput,4,Kesavan A/L Subramaniam,S. KESAVAN,50.0,male,indian,Pakatan Harapan (PH),21637,1,won,0,52725.0,1846.0,72395,72.82961530492437,86815,50.170441,27.18235995,22.45172825,0.195470799
Perak,P.063 Tambun,1,Anwar Bin Ibrahim,ANWAR IBRAHIM,75.0,male,bumiputera,Pakatan Harapan (PH),49625,1,won,0,126444.0,3736.0,160558,78.75284943758642,259166,71.17297759,18.14658153,10.31114003,0.36930085
Perak,P.064 Ipoh Timor,3,Lee Chuan How,HOWARD LEE CHUAN HOW,39.0,male,chinese,Pakatan Harapan (PH),57549,1,won,1,80839.0,43888.0,118178,68.40444075885529,134700,37.38959453,54.20928278,7.925407925,0.475714761
Perak,P.065 Ipoh Barat,2,M.Kulasegaran A/L V.Murugeson,M. KULA,65.0,male,indian,Pakatan Harapan (PH),63915,1,won,0,79314.0,56667.0,114654,69.17682767282433,134978,25.78442172,47.77261998,25.95751377,0.485444532
Perak,P.066 Batu Gajah,2,Sivakumar A/L Varatharaju Naidu,V. SIVAKUMAR,51.0,male,indian,Pakatan Harapan (PH),60999,1,won,0,75935.0,53836.0,111896,67.86212197040109,137227,25.24920294,54.67725795,19.58017547,0.493363638
Perak,P.067 Kuala Kangsar,1,Iskandar Dzulkarnain Bin Abdul Khalid,ISKANDAR DZULKARNAIN,46.0,male,bumiputera,Perikatan Nasional (PN),14380,1,won,1,36229.0,3566.0,46985,77.10758752793446,51789,82.16456196,13.1531176,4.31531176,0.367008682
Perak,P.068 Beruas,1,Ngeh Koo Ham,DATO' NGEH KOO HAM,61.0,male,chinese,Pakatan Harapan (PH),46710,1,won,0,73483.0,33971.0,108249,67.88330608134949,119756,33.13218339,49.03322122,17.37953487,0.455060525
Perak,P.069 Parit,1,Muhammad Ismi Bin Mat Taib,USTAZ ISMI,48.0,male,bumiputera,Perikatan Nasional (PN),17181,1,won,1,38172.0,2155.0,47915,79.66607534175103,60988,95.8972262,1.480610645,2.388741225,0.233421931
Perak,P.070 Kampar,3,Chong Zhemin,CHONG ZHEMIN,37.0,male,chinese,Pakatan Harapan (PH),30467,1,won,1,60399.0,14330.0,89894,67.18913386877878,104552,44.61742398,45.44466925,9.612988747,0.324918023
Perak,P.071 Gopeng,3,Tan Kar Hing,TAN KAR HING,40.0,male,chinese,Pakatan Harapan (PH),55880,1,won,1,105000.0,27148.0,143657,73.0907648078409,216236,52.70700014,38.56533396,8.321102174,0.406563729
Perak,P.072 Tapah,4,Saravanan A/L Murugan,DATUK SERI M. SARAVANAN,54.0,male,indian,Barisan Nasional (BN),18398,1,won,0,45537.0,5064.0,61946,73.51079972879604,79093,71.64035654,15.05667979,12.49325241,0.809711269
Perak,P.073 Pasir Salak,3,Jamaludin Bin Yahya,USTAZ JAMALUDIN BIN YAHYA,51.0,male,bumiputera,Perikatan Nasional (PN),24897,1,won,1,58217.0,5003.0,74761,77.87081499712417,80485,86.75206853,10.10987842,2.808151755,0.329901296
Perak,P.074 Lumut,3,Nordin Bin Ahmad Ismail,KOMANDER (B) NORDIN,57.0,male,bumiputera,Perikatan Nasional (PN),25212,1,won,1,72672.0,363.0,92972,78.1654691735146,124320,81.61438468,9.390000259,8.724907674,0.270707385
Perak,P.075 Bagan Datuk,4,Ahmad Zahid Bin Hamidi,ZAHID HAMIDI,69.0,male,bumiputera,Barisan Nasional (BN),16578,1,won,0,42695.0,348.0,58183,73.38054070776687,76495,55.14319533,20.66949593,23.92170449,0.26560425
Perak,P.076 Teluk Intan,1,Nga Kor Ming,NGA KOR MING,50.0,male,chinese,Pakatan Harapan (PH),33133,1,won,0,65128.0,15169.0,87222,74.66923482607599,103065,49.91991632,32.64908094,16.87967836,0.551324377
Perak,P.077 Tanjong Malim,3,Chang Lih Kang,CHANG LIH KANG,42.0,male,chinese,Pakatan Harapan (PH),25140,1,won,0,70928.0,3541.0,93873,75.55740202188062,122947,74.07671722,13.39875112,11.94766577,0.576865894
Pahang,P.078 Cameron Highlands,1,Ramli Bin Mohd Nor,DATO' RAMLI BIN MOHD NOR,64.0,male,bumiputera,Barisan Nasional (BN),16120,1,won,1,34190.0,4544.0,46020,74.29378531073446,68001,72.18552649,18.84263436,8.398311638,0.573527516
Pahang,P.079 Lipis,4,Abdul Rahman Bin Mohamad,DATO SRI ABDUL RAHMAN BIN MOHAMAD,60.0,male,bumiputera,Barisan Nasional (BN),17672,1,won,0,36343.0,6118.0,47124,77.12206094559035,67853,84.28571429,11.39741393,3.953886898,0.362984889
Pahang,P.080 Raub,1,Chow Yu Hui,CHOW YU HUI,39.0,male,chinese,Pakatan Harapan (PH),21613,1,won,1,57088.0,4357.0,75064,76.05243525524885,95909,60.99240685,32.52582553,6.040305492,0.441462123
Pahang,P.081 Jerantut,3,Khairil Nizam Bin Khirudin,IR. HAJI KHAIRIL,43.0,male,bumiputera,Perikatan Nasional (PN),31701,1,won,1,67774.0,8092.0,87051,77.85550998839761,104771,85.63525391,11.12358312,2.67190491,0.56925806
Pahang,P.082 Indera Mahkota,2,Saifuddin Bin Abdullah,DATO' SRI SAIFUDDIN ABDULLAH,61.0,male,bumiputera,Perikatan Nasional (PN),41692,1,won,0,94446.0,8399.0,120549,78.34656446756091,248946,75.77928129,19.54900101,4.232921422,0.438796277
Pahang,P.083 Kuantan,3,Wan Razali Bin Wan Nor,WAN RAZALI WAN NOR,41.0,male,bumiputera,Perikatan Nasional (PN),25514,1,won,1,68515.0,2866.0,87597,78.21614895487289,128247,82.51948011,15.65470617,1.609191754,0.216621967
Pahang,P.084 Paya Besar,4,Mohd Shahar Bin Abdullah,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,42.0,male,bumiputera,Barisan Nasional (BN),26899,1,won,0,62768.0,1317.0,79744,78.71187800963082,128041,91.47376823,6.383990841,1.484330278,0.65791065
