parlimen,variable,value
P.043 Bagan,utilities_pipedwater_other,0.0
P.044 Permatang Pauh,utilities_pipedwater_other,0.0
P.045 Bukit Mertajam,utilities_pipedwater_other,0.0
P.046 Batu Kawan,utilities_pipedwater_other,0.0
P.047 Nibong Tebal,utilities_pipedwater_other,0.0
P.048 Bukit Bendera,utilities_pipedwater_other,0.0
P.049 Tanjong,utilities_pipedwater_other,0.0
P.050 Jelutong,utilities_pipedwater_other,0.0
P.051 Bukit Gelugor,utilities_pipedwater_other,0.0
P.052 Bayan Baru,utilities_pipedwater_other,0.0
P.053 Balik Pulau,utilities_pipedwater_other,0.0
P.054 Gerik,utilities_pipedwater_other,1.9
P.055 Lenggong,utilities_pipedwater_other,2.9
P.056 Larut,utilities_pipedwater_other,2.2
P.057 Parit Buntar,utilities_pipedwater_other,0.0
P.058 Bagan Serai,utilities_pipedwater_other,0.0
P.059 Bukit Gantang,utilities_pipedwater_other,0.2
P.060 Taiping,utilities_pipedwater_other,0.0
P.061 Padang Rengas,utilities_pipedwater_other,0.0
P.062 Sungai Siput,utilities_pipedwater_other,0.0
P.063 Tambun,utilities_pipedwater_other,0.0
P.064 Ipoh Timor,utilities_pipedwater_other,0.0
P.065 Ipoh Barat,utilities_pipedwater_other,0.0
P.066 Batu Gajah,utilities_pipedwater_other,0.0
P.067 Kuala Kangsar,utilities_pipedwater_other,0.7
P.068 Beruas,utilities_pipedwater_other,0.0
P.069 Parit,utilities_pipedwater_other,0.0
P.070 Kampar,utilities_pipedwater_other,0.1
P.071 Gopeng,utilities_pipedwater_other,0.0
P.072 Tapah,utilities_pipedwater_other,0.0
P.073 Pasir Salak,utilities_pipedwater_other,0.2
P.074 Lumut,utilities_pipedwater_other,0.0
P.075 Bagan Datuk,utilities_pipedwater_other,0.0
P.076 Teluk Intan,utilities_pipedwater_other,0.0
P.077 Tanjong Malim,utilities_pipedwater_other,0.6
P.078 Cameron Highlands,utilities_pipedwater_other,1.7
P.079 Lipis,utilities_pipedwater_other,0.0
P.080 Raub,utilities_pipedwater_other,0.3
P.081 Jerantut,utilities_pipedwater_other,0.0
P.082 Indera Mahkota,utilities_pipedwater_other,0.0
P.083 Kuantan,utilities_pipedwater_other,0.1
P.084 Paya Besar,utilities_pipedwater_other,1.1
P.085 Pekan,utilities_pipedwater_other,5.6
P.086 Maran,utilities_pipedwater_other,1.2
P.087 Kuala Krau,utilities_pipedwater_other,0.7
P.088 Temerloh,utilities_pipedwater_other,0.0
P.089 Bentong,utilities_pipedwater_other,0.0
P.090 Bera,utilities_pipedwater_other,0.3
P.091 Rompin,utilities_pipedwater_other,3.7
P.092 Sabak Bernam,utilities_pipedwater_other,0.0
P.093 Sungai Besar,utilities_pipedwater_other,0.0
P.094 Hulu Selangor,utilities_pipedwater_other,0.0
P.095 Tanjong Karang,utilities_pipedwater_other,0.0
P.096 Kuala Selangor,utilities_pipedwater_other,0.0
P.097 Selayang,utilities_pipedwater_other,0.0
P.098 Gombak,utilities_pipedwater_other,0.0
P.099 Ampang,utilities_pipedwater_other,0.0
P.100 Pandan,utilities_pipedwater_other,0.0
P.101 Hulu Langat,utilities_pipedwater_other,0.0
P.102 Bangi,utilities_pipedwater_other,0.0
P.103 Puchong,utilities_pipedwater_other,0.0
P.104 Subang,utilities_pipedwater_other,0.0
P.105 Petaling Jaya,utilities_pipedwater_other,0.0
P.106 Damansara,utilities_pipedwater_other,0.0
P.107 Sungai Buloh,utilities_pipedwater_other,0.0
P.108 Shah Alam,utilities_pipedwater_other,0.0
P.109 Kapar,utilities_pipedwater_other,0.0
P.110 Klang,utilities_pipedwater_other,0.0
P.111 Kota Raja,utilities_pipedwater_other,0.0
P.112 Kuala Langat,utilities_pipedwater_other,0.0
P.113 Sepang,utilities_pipedwater_other,0.0
P.126 Jelebu,utilities_pipedwater_other,0.0
P.127 Jempol,utilities_pipedwater_other,0.0
P.128 Seremban,utilities_pipedwater_other,0.0
P.129 Kuala Pilah,utilities_pipedwater_other,0.0
P.130 Rasah,utilities_pipedwater_other,0.0
P.131 Rembau,utilities_pipedwater_other,0.0
P.132 Port Dickson,utilities_pipedwater_other,0.0
P.133 Tampin,utilities_pipedwater_other,0.0
P.134 Masjid Tanah,utilities_pipedwater_other,0.0
P.135 Alor Gajah,utilities_pipedwater_other,0.0
P.136 Tangga Batu,utilities_pipedwater_other,0.0
P.137 Hang Tuah Jaya,utilities_pipedwater_other,0.0
P.138 Kota Melaka,utilities_pipedwater_other,0.0
P.139 Jasin,utilities_pipedwater_other,0.0
P.140 Segamat,utilities_pipedwater_other,0.0
P.141 Sekijang,utilities_pipedwater_other,0.0
P.142 Labis,utilities_pipedwater_other,0.0
P.143 Pagoh,utilities_pipedwater_other,0.0
P.144 Ledang,utilities_pipedwater_other,0.0
P.145 Bakri,utilities_pipedwater_other,0.0
P.146 Muar,utilities_pipedwater_other,0.0
P.147 Parit Sulong,utilities_pipedwater_other,0.0
P.148 Ayer Hitam,utilities_pipedwater_other,0.0
P.149 Sri Gading,utilities_pipedwater_other,0.0
P.150 Batu Pahat,utilities_pipedwater_other,0.0
P.151 Simpang Renggam,utilities_pipedwater_other,0.0
P.152 Kluang,utilities_pipedwater_other,0.0
P.153 Sembrong,utilities_pipedwater_other,0.0
P.154 Mersing,utilities_pipedwater_other,1.7
P.155 Tenggara,utilities_pipedwater_other,0.0
P.156 Kota Tinggi,utilities_pipedwater_other,0.0
P.157 Pengerang,utilities_pipedwater_other,0.0
P.158 Tebrau,utilities_pipedwater_other,0.0
P.159 Pasir Gudang,utilities_pipedwater_other,0.0
P.160 Johor Bahru,utilities_pipedwater_other,0.0
P.161 Pulai,utilities_pipedwater_other,0.0
P.162 Iskandar Puteri,utilities_pipedwater_other,0.0
P.163 Kulai,utilities_pipedwater_other,0.0
P.164 Pontian,utilities_pipedwater_other,0.0
P.165 Tanjung Piai,utilities_pipedwater_other,0.0
P.167 Kudat,utilities_pipedwater_other,21.1
P.168 Kota Marudu,utilities_pipedwater_other,19.4
P.169 Kota Belud,utilities_pipedwater_other,26.4
P.170 Tuaran,utilities_pipedwater_other,19.2
P.171 Sepanggar,utilities_pipedwater_other,7.8
P.172 Kota Kinabalu,utilities_pipedwater_other,0.0
P.173 Putatan,utilities_pipedwater_other,0.0
P.174 Penampang,utilities_pipedwater_other,2.4
P.175 Papar,utilities_pipedwater_other,2.0
P.176 Kimanis,utilities_pipedwater_other,5.9
P.177 Beaufort,utilities_pipedwater_other,4.9
P.178 Sipitang,utilities_pipedwater_other,2.2
P.179 Ranau,utilities_pipedwater_other,61.2
P.180 Keningau,utilities_pipedwater_other,18.5
P.181 Tenom,utilities_pipedwater_other,44.8
P.182 Pensiangan,utilities_pipedwater_other,35.2
P.183 Beluran,utilities_pipedwater_other,47.7
P.184 Libaran,utilities_pipedwater_other,5.0
P.185 Batu Sapi,utilities_pipedwater_other,0.0
P.186 Sandakan,utilities_pipedwater_other,0.5
P.187 Kinabatangan,utilities_pipedwater_other,43.1
P.188 Lahad Datu,utilities_pipedwater_other,21.8
P.189 Semporna,utilities_pipedwater_other,9.0
P.190 Tawau,utilities_pipedwater_other,1.0
P.191 Kalabakan,utilities_pipedwater_other,1.4
P.192 Mas Gading,utilities_pipedwater_other,24.5
P.193 Santubong,utilities_pipedwater_other,8.7
P.194 Petra Jaya,utilities_pipedwater_other,1.1
P.195 Bandar Kuching,utilities_pipedwater_other,0.0
P.196 Stampin,utilities_pipedwater_other,0.5
P.197 Kota Samarahan,utilities_pipedwater_other,0.5
P.198 Puncak Borneo,utilities_pipedwater_other,11.1
P.199 Serian,utilities_pipedwater_other,31.0
P.200 Batang Sadong,utilities_pipedwater_other,20.5
P.201 Batang Lupar,utilities_pipedwater_other,16.6
P.202 Sri Aman,utilities_pipedwater_other,28.4
P.203 Lubok Antu,utilities_pipedwater_other,27.3
P.204 Betong,utilities_pipedwater_other,18.8
P.205 Saratok,utilities_pipedwater_other,6.4
P.206 Tanjong Manis,utilities_pipedwater_other,14.3
P.207 Igan,utilities_pipedwater_other,12.4
P.208 Sarikei,utilities_pipedwater_other,2.2
P.209 Julau,utilities_pipedwater_other,38.5
P.210 Kanowit,utilities_pipedwater_other,23.2
P.211 Lanang,utilities_pipedwater_other,0.2
P.212 Sibu,utilities_pipedwater_other,2.5
P.213 Mukah,utilities_pipedwater_other,17.2
P.214 Selangau,utilities_pipedwater_other,51.7
P.215 Kapit,utilities_pipedwater_other,48.2
P.216 Hulu Rajang,utilities_pipedwater_other,61.9
P.217 Bintulu,utilities_pipedwater_other,10.7
P.218 Sibuti,utilities_pipedwater_other,0.0
P.219 Miri,utilities_pipedwater_other,0.0
P.220 Baram,utilities_pipedwater_other,46.3
P.221 Limbang,utilities_pipedwater_other,8.8
P.222 Lawas,utilities_pipedwater_other,20.8
P.114 Kepong,utilities_pipedwater_other,0.0
P.115 Batu,utilities_pipedwater_other,0.0
P.116 Wangsa Maju,utilities_pipedwater_other,0.0
P.117 Segambut,utilities_pipedwater_other,0.0
P.118 Setiawangsa,utilities_pipedwater_other,0.0
P.119 Titiwangsa,utilities_pipedwater_other,0.0
P.120 Bukit Bintang,utilities_pipedwater_other,0.0
P.121 Lembah Pantai,utilities_pipedwater_other,0.0
P.122 Seputeh,utilities_pipedwater_other,0.0
P.123 Cheras,utilities_pipedwater_other,0.0
P.124 Bandar Tun Razak,utilities_pipedwater_other,0.0
P.125 Putrajaya,utilities_pipedwater_other,0.0
P.166 Labuan,utilities_pipedwater_other,0.0
P.001 Padang Besar,utilities_electricity_home,100.0
P.002 Kangar,utilities_electricity_home,100.0
P.003 Arau,utilities_electricity_home,100.0
P.004 Langkawi,utilities_electricity_home,100.0
P.005 Jerlun,utilities_electricity_home,100.0
P.006 Kubang Pasu,utilities_electricity_home,100.0
P.007 Padang Terap,utilities_electricity_home,100.0
P.008 Pokok Sena,utilities_electricity_home,100.0
P.009 Alor Setar,utilities_electricity_home,100.0
P.010 Kuala Kedah,utilities_electricity_home,100.0
P.011 Pendang,utilities_electricity_home,100.0
P.012 Jerai,utilities_electricity_home,100.0
P.013 Sik,utilities_electricity_home,100.0
P.014 Merbok,utilities_electricity_home,100.0
P.015 Sungai Petani,utilities_electricity_home,100.0
P.016 Baling,utilities_electricity_home,100.0
P.017 Padang Serai,utilities_electricity_home,100.0
P.018 Kulim-Bandar Baharu,utilities_electricity_home,100.0
P.019 Tumpat,utilities_electricity_home,100.0
P.020 Pengkalan Chepa,utilities_electricity_home,100.0
P.021 Kota Bharu,utilities_electricity_home,100.0
P.022 Pasir Mas,utilities_electricity_home,100.0
P.023 Rantau Panjang,utilities_electricity_home,100.0
P.024 Kubang Kerian,utilities_electricity_home,100.0
P.025 Bachok,utilities_electricity_home,100.0
P.026 Ketereh,utilities_electricity_home,100.0
P.027 Tanah Merah,utilities_electricity_home,100.0
P.028 Pasir Puteh,utilities_electricity_home,100.0
P.029 Machang,utilities_electricity_home,100.0
P.030 Jeli,utilities_electricity_home,100.0
P.031 Kuala Krai,utilities_electricity_home,100.0
P.032 Gua Musang,utilities_electricity_home,100.0
P.033 Besut,utilities_electricity_home,100.0
P.034 Setiu,utilities_electricity_home,100.0
P.035 Kuala Nerus,utilities_electricity_home,100.0
P.036 Kuala Terengganu,utilities_electricity_home,100.0
P.037 Marang,utilities_electricity_home,100.0
P.038 Hulu Terengganu,utilities_electricity_home,100.0
P.039 Dungun,utilities_electricity_home,100.0
P.040 Kemaman,utilities_electricity_home,100.0
P.041 Kepala Batas,utilities_electricity_home,100.0
P.042 Tasek Gelugor,utilities_electricity_home,100.0
P.043 Bagan,utilities_electricity_home,100.0
P.044 Permatang Pauh,utilities_electricity_home,100.0
P.045 Bukit Mertajam,utilities_electricity_home,100.0
P.046 Batu Kawan,utilities_electricity_home,100.0
P.047 Nibong Tebal,utilities_electricity_home,100.0
P.048 Bukit Bendera,utilities_electricity_home,100.0
P.049 Tanjong,utilities_electricity_home,100.0
P.050 Jelutong,utilities_electricity_home,100.0
P.051 Bukit Gelugor,utilities_electricity_home,100.0
P.052 Bayan Baru,utilities_electricity_home,100.0
P.053 Balik Pulau,utilities_electricity_home,100.0
P.054 Gerik,utilities_electricity_home,100.0
P.055 Lenggong,utilities_electricity_home,100.0
P.056 Larut,utilities_electricity_home,100.0
P.057 Parit Buntar,utilities_electricity_home,100.0
P.058 Bagan Serai,utilities_electricity_home,100.0
P.059 Bukit Gantang,utilities_electricity_home,99.8
P.060 Taiping,utilities_electricity_home,100.0
P.061 Padang Rengas,utilities_electricity_home,100.0
P.062 Sungai Siput,utilities_electricity_home,100.0
P.063 Tambun,utilities_electricity_home,100.0
P.064 Ipoh Timor,utilities_electricity_home,100.0
P.065 Ipoh Barat,utilities_electricity_home,100.0
P.066 Batu Gajah,utilities_electricity_home,100.0
P.067 Kuala Kangsar,utilities_electricity_home,100.0
P.068 Beruas,utilities_electricity_home,100.0
P.069 Parit,utilities_electricity_home,100.0
P.070 Kampar,utilities_electricity_home,100.0
P.071 Gopeng,utilities_electricity_home,100.0
P.072 Tapah,utilities_electricity_home,100.0
P.073 Pasir Salak,utilities_electricity_home,100.0
P.074 Lumut,utilities_electricity_home,100.0
P.075 Bagan Datuk,utilities_electricity_home,100.0
P.076 Teluk Intan,utilities_electricity_home,100.0
P.077 Tanjong Malim,utilities_electricity_home,100.0
P.078 Cameron Highlands,utilities_electricity_home,100.0
P.079 Lipis,utilities_electricity_home,100.0
P.080 Raub,utilities_electricity_home,100.0
P.081 Jerantut,utilities_electricity_home,100.0
P.082 Indera Mahkota,utilities_electricity_home,100.0
P.083 Kuantan,utilities_electricity_home,100.0
P.084 Paya Besar,utilities_electricity_home,100.0
P.085 Pekan,utilities_electricity_home,100.0
P.086 Maran,utilities_electricity_home,100.0
P.087 Kuala Krau,utilities_electricity_home,100.0
P.088 Temerloh,utilities_electricity_home,100.0
P.089 Bentong,utilities_electricity_home,100.0
P.090 Bera,utilities_electricity_home,100.0
P.091 Rompin,utilities_electricity_home,100.0
P.092 Sabak Bernam,utilities_electricity_home,100.0
P.093 Sungai Besar,utilities_electricity_home,100.0
P.094 Hulu Selangor,utilities_electricity_home,100.0
P.095 Tanjong Karang,utilities_electricity_home,100.0
P.096 Kuala Selangor,utilities_electricity_home,100.0
P.097 Selayang,utilities_electricity_home,100.0
P.098 Gombak,utilities_electricity_home,100.0
P.099 Ampang,utilities_electricity_home,100.0
P.100 Pandan,utilities_electricity_home,100.0
P.101 Hulu Langat,utilities_electricity_home,100.0
P.102 Bangi,utilities_electricity_home,100.0
P.103 Puchong,utilities_electricity_home,100.0
P.104 Subang,utilities_electricity_home,100.0
P.105 Petaling Jaya,utilities_electricity_home,100.0
P.106 Damansara,utilities_electricity_home,100.0
P.107 Sungai Buloh,utilities_electricity_home,100.0
P.108 Shah Alam,utilities_electricity_home,100.0
P.109 Kapar,utilities_electricity_home,100.0
P.110 Klang,utilities_electricity_home,100.0
P.111 Kota Raja,utilities_electricity_home,100.0
P.112 Kuala Langat,utilities_electricity_home,100.0
P.113 Sepang,utilities_electricity_home,100.0
P.126 Jelebu,utilities_electricity_home,100.0
P.127 Jempol,utilities_electricity_home,100.0
P.128 Seremban,utilities_electricity_home,100.0
P.129 Kuala Pilah,utilities_electricity_home,100.0
P.130 Rasah,utilities_electricity_home,100.0
P.131 Rembau,utilities_electricity_home,100.0
P.132 Port Dickson,utilities_electricity_home,100.0
P.133 Tampin,utilities_electricity_home,100.0
P.134 Masjid Tanah,utilities_electricity_home,100.0
P.135 Alor Gajah,utilities_electricity_home,100.0
P.136 Tangga Batu,utilities_electricity_home,100.0
P.137 Hang Tuah Jaya,utilities_electricity_home,100.0
P.138 Kota Melaka,utilities_electricity_home,100.0
P.139 Jasin,utilities_electricity_home,100.0
P.140 Segamat,utilities_electricity_home,100.0
P.141 Sekijang,utilities_electricity_home,100.0
P.142 Labis,utilities_electricity_home,100.0
P.143 Pagoh,utilities_electricity_home,100.0
P.144 Ledang,utilities_electricity_home,100.0
P.145 Bakri,utilities_electricity_home,100.0
P.146 Muar,utilities_electricity_home,100.0
P.147 Parit Sulong,utilities_electricity_home,100.0
P.148 Ayer Hitam,utilities_electricity_home,100.0
P.149 Sri Gading,utilities_electricity_home,100.0
P.150 Batu Pahat,utilities_electricity_home,100.0
P.151 Simpang Renggam,utilities_electricity_home,100.0
P.152 Kluang,utilities_electricity_home,100.0
P.153 Sembrong,utilities_electricity_home,100.0
P.154 Mersing,utilities_electricity_home,100.0
P.155 Tenggara,utilities_electricity_home,100.0
P.156 Kota Tinggi,utilities_electricity_home,100.0
P.157 Pengerang,utilities_electricity_home,100.0
P.158 Tebrau,utilities_electricity_home,99.9
P.159 Pasir Gudang,utilities_electricity_home,100.0
P.160 Johor Bahru,utilities_electricity_home,100.0
P.161 Pulai,utilities_electricity_home,100.0
P.162 Iskandar Puteri,utilities_electricity_home,100.0
P.163 Kulai,utilities_electricity_home,100.0
P.164 Pontian,utilities_electricity_home,100.0
P.165 Tanjung Piai,utilities_electricity_home,100.0
P.167 Kudat,utilities_electricity_home,98.1
P.168 Kota Marudu,utilities_electricity_home,99.8
P.169 Kota Belud,utilities_electricity_home,99.7
P.170 Tuaran,utilities_electricity_home,100.0
P.171 Sepanggar,utilities_electricity_home,99.9
P.172 Kota Kinabalu,utilities_electricity_home,100.0
P.173 Putatan,utilities_electricity_home,100.0
P.174 Penampang,utilities_electricity_home,100.0
P.175 Papar,utilities_electricity_home,100.0
P.176 Kimanis,utilities_electricity_home,100.0
P.177 Beaufort,utilities_electricity_home,99.6
P.178 Sipitang,utilities_electricity_home,100.0
P.179 Ranau,utilities_electricity_home,100.0
P.180 Keningau,utilities_electricity_home,100.0
P.181 Tenom,utilities_electricity_home,100.0
P.182 Pensiangan,utilities_electricity_home,100.0
P.183 Beluran,utilities_electricity_home,96.8
P.184 Libaran,utilities_electricity_home,99.8
P.185 Batu Sapi,utilities_electricity_home,100.0
P.186 Sandakan,utilities_electricity_home,100.0
P.187 Kinabatangan,utilities_electricity_home,96.2
P.188 Lahad Datu,utilities_electricity_home,99.9
P.189 Semporna,utilities_electricity_home,99.7
P.190 Tawau,utilities_electricity_home,100.0
P.191 Kalabakan,utilities_electricity_home,99.7
P.192 Mas Gading,utilities_electricity_home,100.0
P.193 Santubong,utilities_electricity_home,99.8
P.194 Petra Jaya,utilities_electricity_home,100.0
P.195 Bandar Kuching,utilities_electricity_home,100.0
P.196 Stampin,utilities_electricity_home,100.0
P.197 Kota Samarahan,utilities_electricity_home,99.9
P.198 Puncak Borneo,utilities_electricity_home,99.4
P.199 Serian,utilities_electricity_home,99.6
P.200 Batang Sadong,utilities_electricity_home,98.7
P.201 Batang Lupar,utilities_electricity_home,99.6
P.202 Sri Aman,utilities_electricity_home,99.8
P.203 Lubok Antu,utilities_electricity_home,100.0
P.204 Betong,utilities_electricity_home,99.6
P.205 Saratok,utilities_electricity_home,100.0
P.206 Tanjong Manis,utilities_electricity_home,100.0
P.207 Igan,utilities_electricity_home,99.6
P.208 Sarikei,utilities_electricity_home,99.7
P.209 Julau,utilities_electricity_home,100.0
P.210 Kanowit,utilities_electricity_home,99.1
P.211 Lanang,utilities_electricity_home,99.9
P.212 Sibu,utilities_electricity_home,100.0
P.213 Mukah,utilities_electricity_home,99.7
P.214 Selangau,utilities_electricity_home,99.4
P.215 Kapit,utilities_electricity_home,100.0
P.216 Hulu Rajang,utilities_electricity_home,99.5
P.217 Bintulu,utilities_electricity_home,99.9
P.218 Sibuti,utilities_electricity_home,100.0
P.219 Miri,utilities_electricity_home,99.7
P.220 Baram,utilities_electricity_home,99.8
P.221 Limbang,utilities_electricity_home,98.4
P.222 Lawas,utilities_electricity_home,99.6
P.114 Kepong,utilities_electricity_home,100.0
P.115 Batu,utilities_electricity_home,100.0
P.116 Wangsa Maju,utilities_electricity_home,100.0
P.117 Segambut,utilities_electricity_home,100.0
P.118 Setiawangsa,utilities_electricity_home,100.0
P.119 Titiwangsa,utilities_electricity_home,100.0
P.120 Bukit Bintang,utilities_electricity_home,100.0
P.121 Lembah Pantai,utilities_electricity_home,100.0
P.122 Seputeh,utilities_electricity_home,100.0
P.123 Cheras,utilities_electricity_home,100.0
P.124 Bandar Tun Razak,utilities_electricity_home,100.0
P.125 Putrajaya,utilities_electricity_home,100.0
P.166 Labuan,utilities_electricity_home,100.0
P.001 Padang Besar,utilities_electricity_none,0.0
P.002 Kangar,utilities_electricity_none,0.0
P.003 Arau,utilities_electricity_none,0.0
P.004 Langkawi,utilities_electricity_none,0.0
P.005 Jerlun,utilities_electricity_none,0.0
P.006 Kubang Pasu,utilities_electricity_none,0.0
P.007 Padang Terap,utilities_electricity_none,0.0
P.008 Pokok Sena,utilities_electricity_none,0.0
P.009 Alor Setar,utilities_electricity_none,0.0
P.010 Kuala Kedah,utilities_electricity_none,0.0
P.011 Pendang,utilities_electricity_none,0.0
P.012 Jerai,utilities_electricity_none,0.0
P.013 Sik,utilities_electricity_none,0.0
P.014 Merbok,utilities_electricity_none,0.0
P.015 Sungai Petani,utilities_electricity_none,0.0
P.016 Baling,utilities_electricity_none,0.0
P.017 Padang Serai,utilities_electricity_none,0.0
P.018 Kulim-Bandar Baharu,utilities_electricity_none,0.0
P.019 Tumpat,utilities_electricity_none,0.0
P.020 Pengkalan Chepa,utilities_electricity_none,0.0
P.021 Kota Bharu,utilities_electricity_none,0.0
P.022 Pasir Mas,utilities_electricity_none,0.0
P.023 Rantau Panjang,utilities_electricity_none,0.0
P.024 Kubang Kerian,utilities_electricity_none,0.0
P.025 Bachok,utilities_electricity_none,0.0
P.026 Ketereh,utilities_electricity_none,0.0
P.027 Tanah Merah,utilities_electricity_none,0.0
P.028 Pasir Puteh,utilities_electricity_none,0.0
P.029 Machang,utilities_electricity_none,0.0
P.030 Jeli,utilities_electricity_none,0.0
P.031 Kuala Krai,utilities_electricity_none,0.0
P.032 Gua Musang,utilities_electricity_none,0.0
P.033 Besut,utilities_electricity_none,0.0
P.034 Setiu,utilities_electricity_none,0.0
P.035 Kuala Nerus,utilities_electricity_none,0.0
P.036 Kuala Terengganu,utilities_electricity_none,0.0
P.037 Marang,utilities_electricity_none,0.0
P.038 Hulu Terengganu,utilities_electricity_none,0.0
P.039 Dungun,utilities_electricity_none,0.0
P.040 Kemaman,utilities_electricity_none,0.0
P.041 Kepala Batas,utilities_electricity_none,0.0
P.042 Tasek Gelugor,utilities_electricity_none,0.0
P.043 Bagan,utilities_electricity_none,0.0
P.044 Permatang Pauh,utilities_electricity_none,0.0
P.045 Bukit Mertajam,utilities_electricity_none,0.0
P.046 Batu Kawan,utilities_electricity_none,0.0
P.047 Nibong Tebal,utilities_electricity_none,0.0
P.048 Bukit Bendera,utilities_electricity_none,0.0
P.049 Tanjong,utilities_electricity_none,0.0
P.050 Jelutong,utilities_electricity_none,0.0
P.051 Bukit Gelugor,utilities_electricity_none,0.0
P.052 Bayan Baru,utilities_electricity_none,0.0
P.053 Balik Pulau,utilities_electricity_none,0.0
P.054 Gerik,utilities_electricity_none,0.0
P.055 Lenggong,utilities_electricity_none,0.0
P.056 Larut,utilities_electricity_none,0.0
P.057 Parit Buntar,utilities_electricity_none,0.0
P.058 Bagan Serai,utilities_electricity_none,0.0
P.059 Bukit Gantang,utilities_electricity_none,0.2
P.060 Taiping,utilities_electricity_none,0.0
P.061 Padang Rengas,utilities_electricity_none,0.0
P.062 Sungai Siput,utilities_electricity_none,0.0
P.063 Tambun,utilities_electricity_none,0.0
P.064 Ipoh Timor,utilities_electricity_none,0.0
P.065 Ipoh Barat,utilities_electricity_none,0.0
P.066 Batu Gajah,utilities_electricity_none,0.0
P.067 Kuala Kangsar,utilities_electricity_none,0.0
P.068 Beruas,utilities_electricity_none,0.0
P.069 Parit,utilities_electricity_none,0.0
P.070 Kampar,utilities_electricity_none,0.0
P.071 Gopeng,utilities_electricity_none,0.0
P.072 Tapah,utilities_electricity_none,0.0
P.073 Pasir Salak,utilities_electricity_none,0.0
P.074 Lumut,utilities_electricity_none,0.0
P.075 Bagan Datuk,utilities_electricity_none,0.0
P.076 Teluk Intan,utilities_electricity_none,0.0
P.077 Tanjong Malim,utilities_electricity_none,0.0
P.078 Cameron Highlands,utilities_electricity_none,0.0
P.079 Lipis,utilities_electricity_none,0.0
P.080 Raub,utilities_electricity_none,0.0
P.081 Jerantut,utilities_electricity_none,0.0
P.082 Indera Mahkota,utilities_electricity_none,0.0
P.083 Kuantan,utilities_electricity_none,0.0
P.084 Paya Besar,utilities_electricity_none,0.0
P.085 Pekan,utilities_electricity_none,0.0
P.086 Maran,utilities_electricity_none,0.0
P.087 Kuala Krau,utilities_electricity_none,0.0
P.088 Temerloh,utilities_electricity_none,0.0
P.089 Bentong,utilities_electricity_none,0.0
P.090 Bera,utilities_electricity_none,0.0
P.091 Rompin,utilities_electricity_none,0.0
P.092 Sabak Bernam,utilities_electricity_none,0.0
P.093 Sungai Besar,utilities_electricity_none,0.0
P.094 Hulu Selangor,utilities_electricity_none,0.0
P.095 Tanjong Karang,utilities_electricity_none,0.0
P.096 Kuala Selangor,utilities_electricity_none,0.0
P.097 Selayang,utilities_electricity_none,0.0
P.098 Gombak,utilities_electricity_none,0.0
P.099 Ampang,utilities_electricity_none,0.0
P.100 Pandan,utilities_electricity_none,0.0
P.101 Hulu Langat,utilities_electricity_none,0.0
P.102 Bangi,utilities_electricity_none,0.0
P.103 Puchong,utilities_electricity_none,0.0
P.104 Subang,utilities_electricity_none,0.0
P.105 Petaling Jaya,utilities_electricity_none,0.0
P.106 Damansara,utilities_electricity_none,0.0
P.107 Sungai Buloh,utilities_electricity_none,0.0
P.108 Shah Alam,utilities_electricity_none,0.0
P.109 Kapar,utilities_electricity_none,0.0
P.110 Klang,utilities_electricity_none,0.0
P.111 Kota Raja,utilities_electricity_none,0.0
P.112 Kuala Langat,utilities_electricity_none,0.0
P.113 Sepang,utilities_electricity_none,0.0
P.126 Jelebu,utilities_electricity_none,0.0
P.127 Jempol,utilities_electricity_none,0.0
P.128 Seremban,utilities_electricity_none,0.0
P.129 Kuala Pilah,utilities_electricity_none,0.0
P.130 Rasah,utilities_electricity_none,0.0
P.131 Rembau,utilities_electricity_none,0.0
P.132 Port Dickson,utilities_electricity_none,0.0
P.133 Tampin,utilities_electricity_none,0.0
P.134 Masjid Tanah,utilities_electricity_none,0.0
P.135 Alor Gajah,utilities_electricity_none,0.0
P.136 Tangga Batu,utilities_electricity_none,0.0
P.137 Hang Tuah Jaya,utilities_electricity_none,0.0
P.138 Kota Melaka,utilities_electricity_none,0.0
P.139 Jasin,utilities_electricity_none,0.0
P.140 Segamat,utilities_electricity_none,0.0
P.141 Sekijang,utilities_electricity_none,0.0
P.142 Labis,utilities_electricity_none,0.0
P.143 Pagoh,utilities_electricity_none,0.0
P.144 Ledang,utilities_electricity_none,0.0
P.145 Bakri,utilities_electricity_none,0.0
P.146 Muar,utilities_electricity_none,0.0
P.147 Parit Sulong,utilities_electricity_none,0.0
P.148 Ayer Hitam,utilities_electricity_none,0.0
P.149 Sri Gading,utilities_electricity_none,0.0
P.150 Batu Pahat,utilities_electricity_none,0.0
P.151 Simpang Renggam,utilities_electricity_none,0.0
P.152 Kluang,utilities_electricity_none,0.0
P.153 Sembrong,utilities_electricity_none,0.0
P.154 Mersing,utilities_electricity_none,0.0
P.155 Tenggara,utilities_electricity_none,0.0
P.156 Kota Tinggi,utilities_electricity_none,0.0
P.157 Pengerang,utilities_electricity_none,0.0
P.158 Tebrau,utilities_electricity_none,0.0
P.159 Pasir Gudang,utilities_electricity_none,0.0
P.160 Johor Bahru,utilities_electricity_none,0.0
P.161 Pulai,utilities_electricity_none,0.0
P.162 Iskandar Puteri,utilities_electricity_none,0.0
