,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
149,Terengganu,P.034 Setiu,2,Shaharizukirnain Bin Abd Kadir,USTAZ ZUKIRNAIN ABD KADIR,53.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),50768,1,won,0
152,Terengganu,P.035 Kuala Nerus,1,Alias Bin Razak,DATO' DR. HAJI ALIAS RAZAK,63.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),56697,1,won,1
159,Terengganu,P.036 Kuala Terengganu,4,Ahmad Amzad Bin Mohamed @ Hashim,DATUK HAJI AMZAD HASHIM,52.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),63016,1,won,0
160,Terengganu,P.037 Marang,1,Abdul Hadi Bin Awang,TUAN GURU HAJI ABDUL HADI AWANG,75.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),73115,1,won,0
166,Terengganu,P.038 Hulu Terengganu,3,Rosol Bin Wahid,DATO ROSOL WAHID,58.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42910,1,won,0
172,Terengganu,P.039 Dungun,5,Wan Hassan Bin Mohd Ramli,USTAZ HAJI WAN HASSAN,65.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),59720,1,won,0
174,Terengganu,P.040 Kemaman,2,Che Alias Bin Hamid,USTAZ CHE ALIAS HAMID,51.0,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65714,1,won,1
178,Pulau Pinang,P.041 Kepala Batas,2,Siti Mastura Binti Muhammad,DR USTAZAH MASTURA,33.0,female,bumiputera,PERIKATAN NASIONAL (PN),28604,1,won,1
185,Pulau Pinang,P.042 Tasek Gelugor,5,Wan Saifulruddin Bin Wan Jan,DATUK WAN SAIFUL WAN JAN,47.0,male,bumiputera,PERIKATAN NASIONAL (PN),31116,1,won,1
187,Pulau Pinang,P.043 Bagan,2,Lim Guan Eng,LIM GUAN ENG,61.0,male,chinese,PAKATAN HARAPAN (PH),55797,1,won,0
191,Pulau Pinang,P.044 Permatang Pauh,2,Muhammad Fawwaz Bin Mohamad Jan,UST FAWWAZ MD JAN,39.0,male,bumiputera,PERIKATAN NASIONAL (PN),37638,1,won,1
194,Pulau Pinang,P.045 Bukit Mertajam,1,Sim Chee Keong,STEVEN SIM CHEE KEONG,40.0,male,chinese,PAKATAN HARAPAN (PH),71722,1,won,0
198,Pulau Pinang,P.046 Batu Kawan,2,Chow Kon Yeow,CHOW KON YEOW,64.0,male,chinese,PAKATAN HARAPAN (PH),50744,1,won,0
202,Pulau Pinang,P.047 Nibong Tebal,1,Fadhlina Binti Sidek,FADHLINA BINTI SIDEK,45.0,female,bumiputera,PAKATAN HARAPAN (PH),42188,1,won,1
206,Pulau Pinang,P.048 Bukit Bendera,1,Syerleena Binti Abdul Rashid,SYERLEENA ABDUL RASHID,42.0,female,bumiputera,PAKATAN HARAPAN (PH),49353,1,won,1
211,Pulau Pinang,P.049 Tanjong,1,Lim Hui Ying,LIM HUI YING,59.0,female,chinese,PAKATAN HARAPAN (PH),31968,1,won,1
214,Pulau Pinang,P.050 Jelutong,1,Sanisvara Nethaji Rayer A/L Rajaji,SANISVARA NETHAJI RAYER (RSN RAYER),51.0,male,indian,PAKATAN HARAPAN (PH),50369,1,won,0
221,Pulau Pinang,P.051 Bukit Gelugor,2,Ramkarpal Singh A/L Karpal Singh,RAMKARPAL SINGH,46.0,male,other,PAKATAN HARAPAN (PH),71204,1,won,0
227,Pulau Pinang,P.052 Bayan Baru,5,Sim Tze Tzin,SIM TZE TZIN,46.0,male,chinese,PAKATAN HARAPAN (PH),55209,1,won,0
230,Pulau Pinang,P.053 Balik Pulau,2,Muhammad Bakhtiar Bin Wan Chik,MUHAMMAD BAKHTIAR BIN WAN CHIK,57.0,male,bumiputera,PAKATAN HARAPAN (PH),24564,1,won,0
236,Perak,P.054 Gerik,2,Fathul Huzir Bin Ayob,FATHUL HUZIR AYOB,39.0,male,bumiputera,PERIKATAN NASIONAL (PN),15105,1,won,1
238,Perak,P.055 Lenggong,1,Shamsul Anuar Bin Nasarah,DR SHAMSUL ANUAR NASARAH,55.0,male,bumiputera,BARISAN NASIONAL (BN),12588,1,won,0
244,Perak,P.056 Larut,4,Hamzah Bin Zainudin,DATO SERI HAMZAH ZAINUDIN,65.0,male,bumiputera,PERIKATAN NASIONAL (PN),28350,1,won,0
248,Perak,P.057 Parit Buntar,4,Mohd Misbahul Munir Bin Masduki,USTAZ MISBAH,59.0,male,bumiputera,PERIKATAN NASIONAL (PN),23223,1,won,1
249,Perak,P.058 Bagan Serai,1,Idris Bin Ahmad,DATUK USTAZ IDRIS,59.0,male,bumiputera,PERIKATAN NASIONAL (PN),33753,1,won,0
253,Perak,P.059 Bukit Gantang,1,Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,DATO' SYED ABU HUSSIN,62.0,male,bumiputera,PERIKATAN NASIONAL (PN),32625,1,won,0
259,Perak,P.060 Taiping,3,Wong Kah Woh,WONG KAH WOH,42.0,male,chinese,PAKATAN HARAPAN (PH),47098,1,won,0
263,Perak,P.061 Padang Rengas,1,Azahari Bin Hasan,KAPTEN AZAHARI,48.0,male,bumiputera,PERIKATAN NASIONAL (PN),12931,1,won,1
269,Perak,P.062 Sungai Siput,4,Kesavan A/L Subramaniam,S. KESAVAN,50.0,male,indian,PAKATAN HARAPAN (PH),21637,1,won,0
273,Perak,P.063 Tambun,1,Anwar Bin Ibrahim,ANWAR IBRAHIM,75.0,male,bumiputera,PAKATAN HARAPAN (PH),49625,1,won,0
279,Perak,P.064 Ipoh Timor,3,Lee Chuan How,HOWARD LEE CHUAN HOW,39.0,male,chinese,PAKATAN HARAPAN (PH),57549,1,won,1
281,Perak,P.065 Ipoh Barat,2,M.Kulasegaran A/L V.Murugeson,M. KULA,65.0,male,indian,PAKATAN HARAPAN (PH),63915,1,won,0
285,Perak,P.066 Batu Gajah,2,Sivakumar A/L Varatharaju Naidu,V. SIVAKUMAR,51.0,male,indian,PAKATAN HARAPAN (PH),60999,1,won,0
287,Perak,P.067 Kuala Kangsar,1,Iskandar Dzulkarnain Bin Abdul Khalid,ISKANDAR DZULKARNAIN,46.0,male,bumiputera,PERIKATAN NASIONAL (PN),14380,1,won,1
291,Perak,P.068 Beruas,1,Ngeh Koo Ham,DATO' NGEH KOO HAM,61.0,male,chinese,PAKATAN HARAPAN (PH),46710,1,won,0
294,Perak,P.069 Parit,1,Muhammad Ismi Bin Mat Taib,USTAZ ISMI,48.0,male,bumiputera,PERIKATAN NASIONAL (PN),17181,1,won,1
300,Perak,P.070 Kampar,3,Chong Zhemin,CHONG ZHEMIN,37.0,male,chinese,PAKATAN HARAPAN (PH),30467,1,won,1
304,Perak,P.071 Gopeng,3,Tan Kar Hing,TAN KAR HING,40.0,male,chinese,PAKATAN HARAPAN (PH),55880,1,won,1
309,Perak,P.072 Tapah,4,Saravanan A/L Murugan,DATUK SERI M. SARAVANAN,54.0,male,indian,BARISAN NASIONAL (BN),18398,1,won,0
314,Perak,P.073 Pasir Salak,3,Jamaludin Bin Yahya,USTAZ JAMALUDIN BIN YAHYA,51.0,male,bumiputera,PERIKATAN NASIONAL (PN),24897,1,won,1
318,Perak,P.074 Lumut,3,Nordin Bin Ahmad Ismail,KOMANDER (B) NORDIN,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),25212,1,won,1
324,Perak,P.075 Bagan Datuk,4,Ahmad Zahid Bin Hamidi,ZAHID HAMIDI,69.0,male,bumiputera,BARISAN NASIONAL (BN),16578,1,won,0
325,Perak,P.076 Teluk Intan,1,Nga Kor Ming,NGA KOR MING,50.0,male,chinese,PAKATAN HARAPAN (PH),33133,1,won,0
331,Perak,P.077 Tanjong Malim,3,Chang Lih Kang,CHANG LIH KANG,42.0,male,chinese,PAKATAN HARAPAN (PH),25140,1,won,0
335,Pahang,P.078 Cameron Highlands,1,Ramli Bin Mohd Nor,DATO' RAMLI BIN MOHD NOR,64.0,male,bumiputera,BARISAN NASIONAL (BN),16120,1,won,1
341,Pahang,P.079 Lipis,4,Abdul Rahman Bin Mohamad,DATO SRI ABDUL RAHMAN BIN MOHAMAD,60.0,male,bumiputera,BARISAN NASIONAL (BN),17672,1,won,0
342,Pahang,P.080 Raub,1,Chow Yu Hui,CHOW YU HUI,39.0,male,chinese,PAKATAN HARAPAN (PH),21613,1,won,1
348,Pahang,P.081 Jerantut,3,Khairil Nizam Bin Khirudin,IR. HAJI KHAIRIL,43.0,male,bumiputera,PERIKATAN NASIONAL (PN),31701,1,won,1
350,Pahang,P.082 Indera Mahkota,2,Saifuddin Bin Abdullah,DATO' SRI SAIFUDDIN ABDULLAH,61.0,male,bumiputera,PERIKATAN NASIONAL (PN),41692,1,won,0
355,Pahang,P.083 Kuantan,3,Wan Razali Bin Wan Nor,WAN RAZALI WAN NOR,41.0,male,bumiputera,PERIKATAN NASIONAL (PN),25514,1,won,1
360,Pahang,P.084 Paya Besar,4,Mohd Shahar Bin Abdullah,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,42.0,male,bumiputera,BARISAN NASIONAL (BN),26899,1,won,0
361,Pahang,P.085 Pekan,1,Sh Mohmed Puzi Bin Sh Ali,SH MOHMED PUZI BIN SH ALI,65.0,male,bumiputera,BARISAN NASIONAL (BN),47418,1,won,1
368,Pahang,P.086 Maran,3,Ismail Bin Abd. Muttalib,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,68.0,male,bumiputera,PERIKATAN NASIONAL (PN),19600,1,won,0
371,Pahang,P.087 Kuala Krau,2,Kamal Bin Ashaari,USTAZ HAJI KAMAL BIN ASHAARI,52.0,male,bumiputera,PERIKATAN NASIONAL (PN),22505,1,won,1
375,Pahang,P.088 Temerloh,2,Salamiah Binti Mohd Nor,HJH SALAMIAH MOHD NOR,58.0,female,bumiputera,PERIKATAN NASIONAL (PN),30929,1,won,1
379,Pahang,P.089 Bentong,2,Young Syefura Binti Othman,YOUNG SYEFURA BINTI OTHMAN,33.0,female,bumiputera,PAKATAN HARAPAN (PH),25075,1,won,1
384,Pahang,P.090 Bera,2,Ismail Sabri Bin Yaakob,ISMAIL SABRI BIN YAAKOB,62.0,male,bumiputera,BARISAN NASIONAL (BN),31762,1,won,0
388,Pahang,P.091 Rompin,3,Abdul Khalib Bin Abdullah,DATO' KHALIB,63.0,male,bumiputera,PERIKATAN NASIONAL (PN),31589,1,won,1
392,Selangor,P.092 Sabak Bernam,3,Kalam Bin Salan,CIKGU KALAM BIN SALAN,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),17973,1,won,1
396,Selangor,P.093 Sungai Besar,3,Muslimin Bin Yahaya,CIKGU MUSLIMIN YAHAYA,55.0,male,bumiputera,PERIKATAN NASIONAL (PN),19791,1,won,0
403,Selangor,P.094 Hulu Selangor,6,Mohd Hasnizan Bin Harun,HASNIZAN HARUN,52.0,male,bumiputera,PERIKATAN NASIONAL (PN),46823,1,won,1
406,Selangor,P.095 Tanjong Karang,3,Zulkafperi Bin Hanapi,KAPT (B) DATO DR ZULKAFPERI,63.0,male,bumiputera,PERIKATAN NASIONAL (PN),18054,1,won,1
411,Selangor,P.096 Kuala Selangor,3,Dzulkefly Bin Ahmad,DS DR DZULKEFLY BIN AHMAD,66.0,male,bumiputera,PAKATAN HARAPAN (PH),31033,1,won,0
417,Selangor,P.097 Selayang,5,William Leong Jee Keen,WILLIAM LEONG JEE KEEN,65.0,male,chinese,PAKATAN HARAPAN (PH),72773,1,won,0
419,Selangor,P.098 Gombak,2,Amirudin Bin Shari,AMIRUDIN SHARI,42.0,male,bumiputera,PAKATAN HARAPAN (PH),72267,1,won,1
423,Selangor,P.099 Ampang,1,Rodziah Binti Ismail,RODZIAH ISMAIL,58.0,female,bumiputera,PAKATAN HARAPAN (PH),56754,1,won,1
432,Selangor,P.100 Pandan,1,Mohd Rafizi Bin Ramli,RAFIZI RAMLI,45.0,male,bumiputera,PAKATAN HARAPAN (PH),74002,1,won,0
437,Selangor,P.101 Hulu Langat,1,Mohd Sany Bin Hamzan,YB MOHD SANY HAMZAN,45.0,male,bumiputera,PAKATAN HARAPAN (PH),58382,1,won,1
449,Selangor,P.102 Bangi,7,Syahredzan Bin Johan,SYAHREDZAN BIN JOHAN,39.0,male,bumiputera,PAKATAN HARAPAN (PH),141568,1,won,1
451,Selangor,P.103 Puchong,1,Yeo Bee Yin,YEO BEE YIN,39.0,female,chinese,PAKATAN HARAPAN (PH),79425,1,won,0
457,Selangor,P.104 Subang,3,Wong Chen,WONG CHEN,53.0,male,chinese,PAKATAN HARAPAN (PH),138259,1,won,0
463,Selangor,P.105 Petaling Jaya,6,Lee Chean Chung,LEE CHEAN CHUNG,41.0,male,chinese,PAKATAN HARAPAN (PH),83311,1,won,1
464,Selangor,P.106 Damansara,1,Gobind Singh Deo,GOBIND SINGH DEO,49.0,male,other,PAKATAN HARAPAN (PH),142875,1,won,0
472,Selangor,P.107 Sungai Buloh,6,Ramanan Ramakrishnan,RAMANAN RAMAKRISHNAN,41.0,male,indian,PAKATAN HARAPAN (PH),50943,1,won,1
474,Selangor,P.108 Shah Alam,1,Azli Bin Yusof,AZLI YUSOF,55.0,male,bumiputera,PAKATAN HARAPAN (PH),61409,1,won,1
